run_name,base_run_name,seed,step,val_lm_loss,ppl,tokens_per_second,peak_vram_gb,gpu_hours,cost,model_params,activated_params,expert_load_cv,kv_elements_per_token,estimated_train_tokens,estimated_training_flops
arch_dense_gqa_seed42,arch_dense_gqa,42,1000,0.6953336599349975,2.0043777429283622,70800.74,0.1588,0.015677,0.0342,2263488,2263488,0.0,192,2048000,27813740544000.0
arch_dense_gqa_seed43,arch_dense_gqa,43,1000,0.6969101183891296,2.0075400531368874,69082.83,0.1588,0.016001,0.0349,2263488,2263488,0.0,192,2048000,27813740544000.0
arch_dense_gqa_seed44,arch_dense_gqa,44,1000,0.6961800518035889,2.0060749501014175,70718.62,0.1588,0.015972,0.0348,2263488,2263488,0.0,192,2048000,27813740544000.0
arch_dense_mha_seed42,arch_dense_mha,42,1000,0.7043896391868592,2.0226117851196275,73704.77,0.1608,0.015011,0.0327,2410944,2410944,0.0,384,2048000,29625679872000.0
arch_dense_mha_seed43,arch_dense_mha,43,1000,0.7019603451728821,2.017704229778326,75016.85,0.1608,0.014967,0.0326,2410944,2410944,0.0,384,2048000,29625679872000.0
arch_dense_mha_seed44,arch_dense_mha,44,1000,0.6981021368980408,2.009934504869474,72311.4,0.1608,0.015022,0.0327,2410944,2410944,0.0,384,2048000,29625679872000.0
arch_moe_aux_none_seed42,arch_moe_aux_none,42,1000,0.6978889989852906,2.0095061572745196,30994.31,0.194,0.035218,0.0768,4481472,1827264,0.2673168476806941,192,2048000,22453420032000.0
arch_moe_aux_none_seed43,arch_moe_aux_none,43,1000,0.7073329491615296,2.028573728180834,31227.21,0.194,0.035567,0.0775,4481472,1827264,0.39164312602670825,192,2048000,22453420032000.0
arch_moe_aux_none_seed44,arch_moe_aux_none,44,1000,0.7037811574935913,2.0213814372358376,32128.33,0.194,0.034756,0.0758,4481472,1827264,0.3661528633796291,192,2048000,22453420032000.0
arch_moe_aux_seed42,arch_moe_aux,42,1000,0.6955331463813782,2.004777629006104,30976.8,0.194,0.035133,0.0766,4481472,1827264,0.07914889452699927,192,2048000,22453420032000.0
arch_moe_aux_seed43,arch_moe_aux,43,1000,0.7053933038711547,2.0246428282110074,29757.76,0.194,0.038243,0.0834,4481472,1827264,0.07504850663337774,192,2048000,22453420032000.0
arch_moe_aux_seed44,arch_moe_aux,44,1000,0.6926665823936462,1.9990390346050018,30641.34,0.194,0.035254,0.0769,4481472,1827264,0.07123402660006142,192,2048000,22453420032000.0
arch_moe_aux_strong_seed42,arch_moe_aux_strong,42,1000,0.7003565012931824,2.014470740897157,28976.49,0.194,0.036838,0.0803,4481472,1827264,0.05636354233981779,192,2048000,22453420032000.0
arch_moe_aux_strong_seed43,arch_moe_aux_strong,43,1000,0.7075745734214782,2.0290639400278097,29382.52,0.194,0.037548,0.0819,4481472,1827264,0.05579295173096368,192,2048000,22453420032000.0
arch_moe_aux_strong_seed44,arch_moe_aux_strong,44,1000,0.6959469389915466,2.0056073628310407,33565.33,0.194,0.03388,0.0739,4481472,1827264,0.054881370106632785,192,2048000,22453420032000.0
arch_moe_aux_weak_seed42,arch_moe_aux_weak,42,1000,0.6973211791038513,2.0083654436171403,28540.15,0.194,0.037096,0.0809,4481472,1827264,0.1959245266195726,192,2048000,22453420032000.0
arch_moe_aux_weak_seed43,arch_moe_aux_weak,43,1000,0.7045868616104126,2.023010728856829,31191.68,0.194,0.036459,0.0795,4481472,1827264,0.1397723592833115,192,2048000,22453420032000.0
arch_moe_aux_weak_seed44,arch_moe_aux_weak,44,1000,0.6964368733406067,2.006590219516785,30818.68,0.194,0.035945,0.0784,4481472,1827264,0.1629556428238214,192,2048000,22453420032000.0
arch_moe_bias_seed42,arch_moe_bias,42,1000,0.7041435791015624,2.022114162316324,34157.96,0.1938,0.031944,0.0696,4481472,1827264,0.07538881846345767,192,2048000,22453420032000.0
arch_moe_bias_seed43,arch_moe_bias,43,1000,0.7117139945983887,2.037480498091804,28398.27,0.1938,0.037992,0.0828,4481472,1827264,0.07230270228202368,192,2048000,22453420032000.0
arch_moe_bias_seed44,arch_moe_bias,44,1000,0.699828459072113,2.0134072960894436,30436.05,0.1938,0.035429,0.0772,4481472,1827264,0.09586972814587993,192,2048000,22453420032000.0
arch_moe_coarse_seed42,arch_moe_coarse,42,1000,0.7171101607322693,2.0485047990828655,51775.1,0.1892,0.023403,0.051,4034496,2265024,0.020068359375,192,2048000,27832614912000.0
arch_moe_coarse_seed43,arch_moe_coarse,43,1000,0.7376999534606934,2.091120304993407,49042.41,0.1882,0.024282,0.0529,4034496,2265024,0.029248046875,192,2048000,27832614912000.0
arch_moe_coarse_seed44,arch_moe_coarse,44,1000,0.7285043635368347,2.0719793612000372,52108.81,0.1878,0.023893,0.0521,4034496,2265024,0.034423828125,192,2048000,27832614912000.0
arch_moe_fine_grained_seed42,arch_moe_fine_grained,42,1000,0.7369257603645325,2.0895020006109104,29554.25,0.2122,0.037803,0.0824,4039104,2269632,0.07156897527323998,192,2048000,27889238016000.0
arch_moe_fine_grained_seed43,arch_moe_fine_grained,43,1000,0.7353120819091797,2.086132935275257,35851.88,0.2122,0.031256,0.0681,4039104,2269632,0.050262642177749395,192,2048000,27889238016000.0
