run_name,stage,step,model_params,activated_params,val_loss,val_ppl,sample_ppl,sample_ppl_examples,sample_ppl_tokens,tokens_per_second,peak_vram_gb,gpu_hours,cost,mean_reward,reasoning_accuracy,reasoning_format,reasoning_examples,estimated_train_tokens,estimated_training_flops
formal_base20m,pretrain,3256,2410944,2410944,0.5428268272399902,1.7208645798563964,1.7182922695009908,100,19100,223296.39,0.376,0.033024,0.072,,0.0,0.0,5,20004864,289383640989696.0
formal_dense115_30m,pretrain,7325,113465088,113465088,0.45912863871600385,1.582694285448653,,0,0,77436.11,3.9479,0.125976,0.2746,,,,0,30003200,2.04258943696896e+16
formal_dense35_50m,pretrain,6104,33696256,33696256,0.48224830824228954,1.619711923193448,,0,0,219297.59,2.6359,0.075002,0.1635,,,,0,50003968,1.0109679040462848e+16
formal_direct_grpo,grpo_mini,300,2410944,2410944,,,1.9954792638137715,100,19100,,0.1725,0.133623,0.2913,0.10000000149011612,0.0,0.0,5,,
formal_moe35_30m,pretrain,7325,235055616,84060672,0.4567027049069038,1.5788594273088485,,0,0,31525.6,5.4639,0.304982,0.6649,,,,0,30003200,1.51325349249024e+16
formal_reasoning_grpo,grpo_mini,300,2410944,2410944,,,12.306336802871336,100,19100,,0.1725,0.134962,0.2942,0.20000000298023224,0.0,0.2,5,,
formal_reasoning_sft,sft,2000,2410944,2410944,0.04063141893129796,1.0414681693431425,12.669619805538714,100,19100,,0.2251,0.017496,0.0381,,0.0,0.6,5,6144000,88877039616000.0
formal_sweep_bs16_lr3e-4,pretrain,1221,33696256,33696256,0.6507180028807307,1.916916686723077,,0,0,106372.03,1.5467,0.025496,0.0556,,,,0,5001216,1011133527883776.0
formal_sweep_bs16_lr6e-4,pretrain,1221,33696256,33696256,0.6474879535339199,1.9107349402788933,,0,0,108008.97,1.5467,0.025487,0.0556,,,,0,5001216,1011133527883776.0
formal_sweep_bs32_lr3e-4,pretrain,611,33696256,33696256,0.6925797875625597,1.998865535879163,,0,0,213906.49,2.6359,0.011423,0.0249,,,,0,5005312,1011961647071232.0
formal_sweep_bs32_lr6e-4,pretrain,611,33696256,33696256,0.6818791179423915,1.9775903684413585,,0,0,215063.81,2.6359,0.011067,0.0241,,,,0,5005312,1011961647071232.0
